2025-09-08T02:46:06.677111 [ENB    ] [I] Using binary /usr/local/bin/srsenb with arguments: 
2025-09-08T02:46:07.029067 [ENB    ] [I] Built in Release mode using commit ec29b0c1f on branch HEAD.
2025-09-08T02:46:07.033751 [ENB    ] [I] Using sync queue size of one for ZMQ based radio.
2025-09-08T02:46:07.239512 [COMN   ] [D] [    0] Successfully bound to address 172.22.0.22:2152
2025-09-08T02:46:07.239539 [COMN   ] [D] [    0] Opened SCTP socket=7
2025-09-08T02:46:07.239549 [COMN   ] [D] [    0] Setting RTO_INFO options on SCTP socket. Association 0, Initial RTO 3000, Minimum RTO 1000, Maximum RTO 6000
2025-09-08T02:46:07.239554 [COMN   ] [D] [    0] Setting SCTP_INITMSG options on SCTP socket. Max attempts 3, Max init attempts timeout 5000
2025-09-08T02:46:07.239569 [COMN   ] [D] [    0] Successfully bound to address 172.22.0.22:0
2025-09-08T02:46:07.239605 [COMN   ] [D] [    0] RxSockets: socket fd=6 has been registered.
2025-09-08T02:46:07.249690 [COMN   ] [D] [    0] RxSockets: socket fd=7 has been registered.
2025-09-08T02:49:56.104039 [COMN   ] [D] [    0] RxSockets: Closing rx socket handler thread
2025-09-08T02:49:56.104516 [COMN   ] [D] [    0] RxSockets: closed.
2025-09-08T02:49:56.104713 [COMN   ] [D] [    0] Socket=7 was closed.
2025-09-08T02:49:56.114565 [COMN   ] [D] [    0] Socket=-1 could not be closed.
2025-09-08T02:49:56.123071 [COMN   ] [D] [    0] Socket=-1 could not be closed.
